Sample	ID	PIT	Group	Pop	Selection	Photoperiod	Sex	Weight_end	Length_end	Trial	Repeat	Arena	Beh_batch	Out_time_min	Activity	Explorated
	72	LA000000900226000772369	Hatchery LV	Hatchery	LV	24	NA	NA	NA	72_4	1	1	3	1.073333333	0.9930819	1
F107	27	LA000000900226000524085	Hatchery LV	Hatchery	LV	12:12	-1	15.1	115	27_2	0	4	1	0.126833333	0.171392587	0
F116	77	LA000000900226000772322	Hatchery LV	Hatchery	LV	24	1	18.5	119	77_4	1	1	5	0.299666667	0.065359553	1
F121	97	LA000000900226000772278	Hatchery HV	Hatchery	HV	24	1	29.2	141	97_4	1	4	3	0.191333333	0.073614283	0
F122	46	LA000000900226000789735	Hatchery LV	Hatchery	LV	24	1	18.7	125	46_4	1	3	3	0.136333333	0.165666182	1
F123	87	LA000000900226000772299	Hatchery HV	Hatchery	HV	24	-1	16.4	119	87_4	1	2	2	9.75	NA	0
F124	16	LA000000900226000772320	Hatchery HV	Hatchery	HV	24	1	13.1	109	16_4	1	3	4	4.323833333	0.564516631	1
F83	18	LA000000900226000772367	Hatchery HV	Hatchery	HV	12:12	-1	11.2	102	18_2	0	1	1	9.292166667	1	0
F102	63	LA000000900226000790139	Hatchery LV	Hatchery	LV	12:12	-1	10	100	63_3	1	4	2	5.051333333	0.145360283	0
F108	78	LA000000900226000772311	Hatchery LV	Hatchery	LV	12:12	1	11.9	105	78_3	1	1	2	1.869	0.430956389	1
F109	92	LA000000900226000790101	Hatchery LV	Hatchery	LV	12:12	-1	14.5	115	92_5	1	2	2	0.193833333	0.591257795	1
F112	45	LA000000900226000789908	Hatchery HV	Hatchery	HV	12:12	-1	19.3	121	45_3	1	1	3	1.732166667	0.449372898	1
F77	32	LA000000900226000790647	Hatchery LV	Hatchery	LV	12:12	1	31.5	144	32_3	1	4	4	0.023166667	0.039255298	1
F81	23	LA000000900226000772582	Hatchery HV	Hatchery	HV	12:12	1	23.5	129	23_3	1	2	4	0.029833333	0.382109572	1
F82	74	LA000000900226000790060	Hatchery HV	Hatchery	HV	12:12	-1	21.7	128	74_3	1	3	2	0.972166667	0.402984105	1
F83	18	LA000000900226000772367	Hatchery HV	Hatchery	HV	12:12	-1	11.2	102	18_3	1	3	5	9.75	NA	0
F91	13	LA000000900226000789972	Hatchery HV	Hatchery	HV	12:12	-1	14.9	115	13_3	1	4	1	0.141	0.956552561	1
