Sample_ID	PIT	Fish_ID	group	Sex	Photoperiod	pop	selection	subgroups	Metab_chamber	Mass_g_postMR	Ave_O2_mg_h	Min_O2_mg_h	Temp
F54	LA000000900226000790125	43	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	2	13.8	3.077528924	0.551099537	5.08
F136	LA000000982000359701619	37	Wild LV	-1	24	Wild	LV	Wild LV 24	1	18.9	3.142921192	0.740442197	4.59
F104	LA000000900226000772334	19	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	1	20.9	3.14460643	0.735080807	4.82
F78	LA000000900226000790653	60	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	1	18.3	3.224392439	0.593126323	4.16
F80	LA000000900226000789939	14	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	3	12.9	3.249514177	NA	4.36
F79	LA000000900226000790697	84	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	1	14.4	3.289067188	0.505485769	4.35
F55	LA000000900226000789245	26	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	1	17.3	3.307559958	0.772525759	4.83
F89	LA000000900226000790102	31	Wild LV	NA	12:12	Wild	LV	Wild LV 12:12	1	17.3	3.333926563	0.779152242	4.36
F65	LA000000900226000524063	76	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	3	12.4	3.387379752	0.553123261	4.3
	LA000000900226000789959	62	Wild LV	NA	24	Wild	LV	Wild LV 24	4	13.4	3.480085296	0.495733821	5.11
F99	LA000000900226000789955	30	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	1	14.7	3.602977539	0.955677871	4.22
F63	LA000000900226000790680	50	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	1	15.4	3.62916035	0.553341014	5.08
F76	LA000000900226000789228	6	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	3	16.8	3.818663919	0.734225765	4.35
	LA000000900226000789927	55	Wild LV	NA	24	Wild	LV	Wild LV 24	3	14.1	3.830285965	0.549660937	4.21
F98	LA000000900226000789964	85	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	3	13.4	3.908391586	NA	4.22
F113	LA000000900226000772345	29	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	1	15.4	3.992177209	0.903335954	4.3
F61	LA000000900226000790131	80	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	3	14.8	4.041304207	0.871566421	4.16
F138	LA000000900226000076467	22	Wild LV	1	24	Wild	LV	Wild LV 24	3	13.1	4.055981687	0.619243885	4.59
F130	LA000000900226000789242	65	Wild HV	1	24	Wild	HV	Wild HV 24	3	17.4	4.0857154	0.580564247	5.11
F84	LA000000900226000790128	15	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	3	17.3	4.159714513	0.79177501	5
F62	LA000000900226000789244	75	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	3	16.9	4.171310524	0.811465847	5.08
F66	LA000000900226000624782	2	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	2	15.3	4.277746216	0.752274394	5.08
