Batch	Fish_ID	Sample_ID	PIT	group	Sex	Photoperiod	pop	selection	subgroups	low10	q0.1	q0.2	ave_MR	Mass	Chamber.No	Temp
47	all.slopes.Batch22	69	F57	LA000000900226000772253	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12	3.00061247928731	2.58073623930419	2.94637250391749	4.01899546734856	13.1	CH2	4.84614285714286
48	all.slopes.Batch23	19	F104	LA000000900226000772334	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	2.11032469653672	2.05105361625481	2.74529428527879	3.97968168056091	20.9	CH1	4.82003830227743
49	all.slopes.Batch23	93	F75	LA000000900226000789942	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	2.82962057415691	2.98371521141307	3.151350913619	3.59277102576919	11.2	CH2	4.823708994709
50	all.slopes.Batch24	44		LA000000900226000772286	Wild HV	NA	24	Wild	HV	Wild HV 24	2.32092954536141	2.14382556389238	2.38415602023741	3.50976916928475	16.8	CH1	4.45125396825397
51	all.slopes.Batch24	48	F140	LA000000900226000772391	Wild HV	1	24	Wild	HV	Wild HV 24	4.68311459512299	3.07936732215351	3.76668729929334	5.17265252026717	20.8	CH2	4.44664285714286
52	all.slopes.Batch25	51		LA000000900226000772356	Hatchery LV	NA	12:12	Hatchery	LV	Hatchery LV 12:12	2.90022575582643	2.66174083085471	3.47390430966641	4.4311368393696	13.9	CH2	4.47258301158301
53	all.slopes.Batch25	86		LA000000900226000790608	Wild HV	NA	12:12	Wild	HV	Wild HV 12:12	2.4221011304068	2.45998857061395	2.85237295132335	3.44867687135027	12	CH1	4.47067714285714
54	all.slopes.Batch27	21	F134	LA000000982000357033042	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24	2.85243053172285	2.79300856702883	3.121978724722	3.73234298766499	11.7	CH2	4.57101673101673
55	all.slopes.Batch27	67	F125	LA000000900226000790155	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	2.80456473491054	3.10034957434522	3.65826685022028	4.33063864229513	15.1	CH1	4.58906073153899
56	all.slopes.Batch28	35	F70	LA000000982000359701574	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	2.06226080046724	2.22756718078501	2.61111486407519	3.12000970223541	11.8	CH1	4.80173688458434
57	all.slopes.Batch28	42	F96	LA000000900226000772251	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	3.0775594200516	2.89748108399216	3.25237468847184	4.31019549386437	20	CH2	4.81035034013605
58	all.slopes.Batch29	1	F67	LA000000900226000772580	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	2.74086300548687	3.08216081282686	3.71132200847151	4.60354631960455	16	CH2	4.61713169642857
59	all.slopes.Batch29	83	F100	LA000000900226000789220	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12	2.21370622008624	2.02462595038226	2.17668991385393	2.54336548289321	12	CH1	4.66165413533835
60	all.slopes.Batch3	52	F117	LA000000900226000789999	Wild LV	-1	24	Wild	LV	Wild LV 24	2.38179645370157	2.37093379955333	2.59459228094449	3.38650120619221	14.6	CH1	4.21294611528822
61	all.slopes.Batch3	55		LA000000900226000789927	Wild LV	NA	24	Wild	LV	Wild LV 24	3.82592765751671	4.13260945186304	4.33217016897164	4.96348414623582	14.1	CH3	4.21481792717087
62	all.slopes.Batch3	77	F116	LA000000900226000772322	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24	2.77678527869654	2.71251271766266	3.42520790025122	4.45026779514553	14.4	CH4	4.21388744588745
63	all.slopes.Batch30	10	F64	LA000000900226000790628	Hatchery LV	1	12:12	Hatchery	LV	Hatchery LV 12:12	2.61436158341548	2.87686559299552	3.4010473197498	4.2687678878709	13.8	CH2	4.58232804232804
64	all.slopes.Batch30	64	F72	LA000000900226000789202	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	2.19632910268867	2.24530789843704	2.70751975935839	3.36388628114232	14.5	CH1	4.58573955296404
65	all.slopes.Batch31	11	F105	LA000000900226000790144	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	1.83105493153256	1.85756172270053	2.07981445918571	3.00525079766953	12.4	CH1	4.92244302721088
